央视,#genre#
CCTV-1综合,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000010000030810
CCTV-1综合,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000004000002226
CCTV-2财经,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000011000031101
CCTV-3综艺,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000002000020548
CCTV-3综艺,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000004000008883
CCTV-4中文国际,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000005000030093
CCTV-4中文国际,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000011000031102
CCTV-5体育,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000004000008885
CCTV-5+体育赛事,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000011000031127
CCTV-6电影,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000010000018433
CCTV-6电影,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000004000008886
CCTV-7国防军事,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000005000026715
CCTV-7国防军事,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000011000031104
CCTV-8电视剧,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000010000018377
CCTV-8电视剧,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000004000008888
CCTV-9纪录,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000010000018384
CCTV-10科教,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000004000012827
CCTV-10科教,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000010000016738
CCTV-11戏曲,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000006000040011
CCTV-11戏曲,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000011000031106
CCTV-12社会与法,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000011000031107
CCTV-13新闻,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000005000001827
CCTV-13新闻,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000011000031108
CCTV-14少儿,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000010000023358
CCTV-14少儿,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000004000006673
CCTV-15音乐,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000011000031109
CCTV-16奥林匹克,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000008000023253
CCTV-16奥林匹克,http://php.jdshipin.com:8880/itv6s.php?cid=bestzb&id=5000000008000023254$4K
CCTV-17农业农村,http://php.jdshipin.com:8880/itv6.php?cid=ystenlive&id=1000000005000265015
CCTV-17农业农村,http://php.jdshipin.com:8880/itv6.php?cid=ystenlive&id=1000000006000268004
CGTN,https://0472.org/hls/cgtn.m3u8
CGTN纪录,https://0472.org/hls/cgtnd.m3u8
CGTN俄语,https://0472.org/hls/cgtne.m3u8
CGTN法语,https://0472.org/hls/cgtnf.m3u8
CGTN西班牙语,https://0472.org/hls/cgtnx.m3u8
CGTN阿拉伯语,https://0472.org/hls/cgtna.m3u8
中国教育4台,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000011000031126

CCTV-1综合,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226895/1.m3u8?servicetype=1&accountinfo=%7E%7EV2.0%7EI0Rkc6neBYgfpoJ1yud8Fw%7EPepnxHHB2d6Hk2dZWM77MyFlBN5q1KnYLvimM9pqT7Epd7QgO4HFWH0z34SUb2Vs%7EExtInfo9bj61dxzlMXrsixrqcFYPg%3A20240420192714%2C%2C%2C20240420192714%2C%2C10001000275495%2C-1%2C0%2C1%2C-1%2C%2C2%2C2201300%2C%2C%2C2%2C%2C%2CEND&GuardEncType=2
CCTV-2财经,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226893/1.m3u8?servicetype=1&accountinfo=%7E%7EV2.0%7EcnoJZd_sZxCC6bZYZh4R6g%7EPepnxHHB2d6Hk2dZWM77MyFlBN5q1KnYLvimM9pqT7Fe8M_1QCWSd35gkY-Q1BSH%7EExtInfo9bj61dxzlMXrsixrqcFYPg%3A20240420192539%2C%2C%2C20240420192539%2C%2C10001000275495%2C-1%2C0%2C1%2C-1%2C%2C2%2C2201300%2C%2C%2C2%2C%2C%2CEND&GuardEncType=2
CCTV-4中文国际,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226335/1.m3u8?servicetype=1&accountinfo=%7E%7EV2.0%7EBFJ5gRpm8ntK8JEFPZOhLQ%7EPepnxHHB2d6Hk2dZWM77MyFlBN5q1KnYLvimM9pqT7EfCf-e5nKehMQzrOBwWduf%7EExtInfo9bj61dxzlMXrsixrqcFYPg%3A20240420192542%2C%2C%2C20240420192542%2C%2C10001000275495%2C-1%2C0%2C1%2C-1%2C%2C2%2C2201300%2C%2C%2C2%2C%2C%2CEND&GuardEncType=2
CCTV-7国防军事,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226946/1.m3u8?servicetype=1&accountinfo=%7E%7EV2.0%7E2bEV_zkW1hRnWmsZq6rlbw%7EPepnxHHB2d6Hk2dZWM77MyFlBN5q1KnYLvimM9pqT7Fc_MEUOVd0CBbc2BFzAJH_%7EExtInfo9bj61dxzlMXrsixrqcFYPg%3A20240420192548%2C%2C%2C20240420192548%2C%2C10001000275495%2C-1%2C0%2C1%2C-1%2C%2C2%2C2201300%2C%2C%2C2%2C%2C%2CEND&GuardEncType=2
CCTV-9纪录,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226944/1.m3u8?servicetype=1&accountinfo=%7E%7EV2.0%7EgdZMBjOTdDWVEgovFkZoew%7EPepnxHHB2d6Hk2dZWM77MyFlBN5q1KnYLvimM9pqT7EqTu3rtglooDaG_6P7QG0G%7EExtInfo9bj61dxzlMXrsixrqcFYPg%3A20240420192550%2C%2C%2C20240420192550%2C%2C10001000275495%2C-1%2C0%2C1%2C-1%2C%2C2%2C2201300%2C%2C%2C2%2C%2C%2CEND&GuardEncType=2
CCTV-10科教,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226937/1.m3u8?servicetype=1&accountinfo=%7E%7EV2.0%7Egbbk6OxyTS2utbJWm7Qw1w%7EPepnxHHB2d6Hk2dZWM77MyFlBN5q1KnYLvimM9pqT7G2pNzf8WZUYdQj6fRj0xqk%7EExtInfo9bj61dxzlMXrsixrqcFYPg%3A20240420192551%2C%2C%2C20240420192551%2C%2C10001000275495%2C-1%2C0%2C1%2C-1%2C%2C2%2C2201300%2C%2C%2C2%2C%2C%2CEND&GuardEncType=2
CCTV-11戏曲,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226334/1.m3u8?servicetype=1&accountinfo=%7E%7EV2.0%7E0RcQQbNseiHvFO8XWf466A%7EPepnxHHB2d6Hk2dZWM77MyFlBN5q1KnYLvimM9pqT7Fu7CeinMHJqra3zokMRz7n%7EExtInfo9bj61dxzlMXrsixrqcFYPg%3A20240420192552%2C%2C%2C20240420192552%2C%2C10001000275495%2C-1%2C0%2C1%2C-1%2C%2C2%2C2201300%2C%2C%2C2%2C%2C%2CEND&GuardEncType=2
CCTV-12社会与法,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226942/1.m3u8?servicetype=1&accountinfo=%7E%7EV2.0%7E9nVa4WyKpuJgFy6Zh4TplQ%7EPepnxHHB2d6Hk2dZWM77MyFlBN5q1KnYLvimM9pqT7HnJxyKiyVyy_NI7qKUlh3o%7EExtInfo9bj61dxzlMXrsixrqcFYPg%3A20240420192553%2C%2C%2C20240420192553%2C%2C10001000275495%2C-1%2C0%2C1%2C-1%2C%2C2%2C2201300%2C%2C%2C2%2C%2C%2CEND&GuardEncType=2
CCTV-13新闻,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226316/1.m3u8?servicetype=1&accountinfo=%7E%7EV2.0%7EqHPe9pEEWJ00hz1ArnRZVA%7EPepnxHHB2d6Hk2dZWM77MyFlBN5q1KnYLvimM9pqT7FeVpwiXzm8Z1FT0IzXPiAe%7EExtInfo9bj61dxzlMXrsixrqcFYPg%3A20240420192554%2C%2C%2C20240420192554%2C%2C10001000275495%2C-1%2C0%2C1%2C-1%2C%2C2%2C2201300%2C%2C%2C2%2C%2C%2CEND&GuardEncType=2
CCTV-14少儿,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226947/1.m3u8?servicetype=1&accountinfo=%7E%7EV2.0%7EgtTqPYLE5COifF-qvYi2Ig%7EPepnxHHB2d6Hk2dZWM77MyFlBN5q1KnYLvimM9pqT7Gjz8eIMyPUF5CKBM1zLuEZ%7EExtInfo9bj61dxzlMXrsixrqcFYPg%3A20240420192555%2C%2C%2C20240420192555%2C%2C10001000275495%2C-1%2C0%2C1%2C-1%2C%2C2%2C2201300%2C%2C%2C2%2C%2C%2CEND&GuardEncType=2
CCTV-15音乐,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226333/1.m3u8?servicetype=1&accountinfo=%7E%7EV2.0%7EWyklhmFh7oMx-lG1tNUcSQ%7EPepnxHHB2d6Hk2dZWM77MyFlBN5q1KnYLvimM9pqT7Ggfx09IYQ0HOnjH2d6pZUp%7EExtInfo9bj61dxzlMXrsixrqcFYPg%3A20240420192557%2C%2C%2C20240420192557%2C%2C10001000275495%2C-1%2C0%2C1%2C-1%2C%2C2%2C2201300%2C%2C%2C2%2C%2C%2CEND&GuardEncType=2
CCTV-17农业农村,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226318/1.m3u8?servicetype=1&accountinfo=%7E%7EV2.0%7EEkwQnoHNXRDb-IayWakK1A%7EPepnxHHB2d6Hk2dZWM77MyFlBN5q1KnYLvimM9pqT7HR8OMfw8B_E228iTrbEqZt%7EExtInfo9bj61dxzlMXrsixrqcFYPg%3A20240420192559%2C%2C%2C20240420192559%2C%2C10001000275495%2C-1%2C0%2C1%2C-1%2C%2C2%2C2201300%2C%2C%2C2%2C%2C%2CEND&GuardEncType=2

CCTV-1综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV-1综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8
CCTV-2财经,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8$720P
CCTV-3综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV-4中文国际,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV-5体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV-5+体育赛事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV-6电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV-7国防军事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV-8电视剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV-9纪录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV-10科教,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV-10科教,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226473/index.m3u8
CCTV-11戏曲,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226565/index.m3u8
CCTV-12社会与法,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV-12社会与法,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226568/index.m3u8
CCTV-13新闻,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8
CCTV-13新闻,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
CCTV-13新闻,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226571/index.m3u8
CCTV-14少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV-14少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226591/index.m3u8
CCTV-15音乐,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226476/index.m3u8
CCTV-16奥林匹克,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV-17农业农村,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
中国教育1台,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225652/index.m3u8
中国教育2台,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226425/index.m3u8
中国教育4台,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225783/index.m3u8
CGTN,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225604/index.m3u8
CGTN纪录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225602/index.m3u8
CGTN法语,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226520/index.m3u8
CGTN俄语,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226543/index.m3u8
CGTN西班牙语,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226431/index.m3u8
CGTN阿拉伯语,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226517/index.m3u8

CCTV-1综合,http://223.105.252.3/PLTV/3/224/3221227634/index.m3u8
CCTV-2财经,http://223.105.252.41/PLTV/3/224/3221228300/index.m3u8
CCTV-3综艺,http://223.105.252.47/PLTV/3/224/3221227623/index.m3u8
CCTV-4中文国际,http://223.105.252.45/PLTV/3/224/3221228307/index.m3u8
CCTV-5体育,http://223.105.252.51/PLTV/3/224/3221227661/index.m3u8
CCTV-5+体育赛事,http://223.105.252.37/PLTV/3/224/3221228277/index.m3u8
CCTV-6电影,http://223.105.252.39/PLTV/3/224/3221225548/index.m3u8
CCTV-7国防军事,http://223.105.252.45/PLTV/3/224/3221227626/index.m3u8
CCTV-8电视剧,http://223.105.252.47/PLTV/3/224/3221227629/index.m3u8
CCTV-9纪录,http://223.105.252.39/PLTV/3/224/3221225532/index.m3u8
CCTV-10科教,http://223.105.252.39/PLTV/3/224/3221225550/index.m3u8
CCTV-11戏曲,http://223.105.252.51/PLTV/3/224/3221227720/index.m3u8
CCTV-12社会与法,http://223.105.252.47/PLTV/3/224/3221227637/index.m3u8
CCTV-13新闻,http://223.105.252.57/PLTV/3/224/3221228224/index.m3u8
CCTV-14少儿,http://223.105.252.47/PLTV/3/224/3221227656/index.m3u8
CCTV-15音乐,http://223.105.252.51/PLTV/3/224/3221227723/index.m3u8
CCTV-16奥林匹克,http://223.105.252.55/PLTV/3/224/3221228112/index.m3u8
CCTV-17农业农村,http://223.105.252.45/PLTV/3/224/3221227592/index.m3u8

CCTV-1综合,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8
CGTN,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream05/streamPlaylist.m3u8?$1080P
CGTN,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream04/streamPlaylist.m3u8?$720P
