央视,#genre#
CCTV-1综合,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8?
CCTV-1综合,http://111.221.137.228:8278/cctv1/playlist.m3u8$720P
CCTV-1综合,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226016
CCTV-2财经,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225588
CCTV-3综艺,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226021
CCTV-4中文国际,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226428
CCTV-5体育,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226019
CCTV-5+体育赛事,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225603
CCTV-6电影,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226010
CCTV-7国防军事,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225733
CCTV-8电视剧,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226008
CCTV-9纪录,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225734
CCTV-10科教,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225730
CCTV-11戏曲,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226565
CCTV-12社会与法,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225731
CCTV-13新闻,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226011
CCTV-14少儿,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225732
CCTV-15音乐,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226476
CCTV-16奥林匹克,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226100
CCTV-17农业农村,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225765
CCTV-4K超高清,http://ls-arca4.jsbtv.cc/live/cctv4k.m3u8
CGTN,https://0472.org/hls/cgtn.m3u8
CGTN纪录,https://0472.org/hls/cgtnd.m3u8
CGTN俄语,https://0472.org/hls/cgtne.m3u8
CGTN法语,https://0472.org/hls/cgtnf.m3u8
CGTN西班牙语,https://0472.org/hls/cgtnx.m3u8
CGTN阿拉伯语,https://0472.org/hls/cgtna.m3u8
CGTN,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream05/streamPlaylist.m3u8?
CGTN纪录,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream05/streamPlaylist.m3u8?
CGTN法语,https://francais-livews.cgtn.com/hls/LSvev95OuFZtKLc6CeKEFYXj220802LSTeV6PO0Ut9r71Uq3k5goCA220802cd/playlist.m3u8
CGTN俄语,https://russian-livews.cgtn.com/hls/LSvexABhNipibK5KRuUkvHZ7220802LSTeze9o8tdFXMHsb1VosgoT220802cd/playlist.m3u8
CGTN西班牙语,https://espanol-livews.cgtn.com/hls/LSveOGBaBw41Ea7ukkVAUdKQ220802LSTexu6xAuFH8VZNBLE1ZNEa220802cd/playlist.m3u8
CGTN阿拉伯语,https://arabic-livews.cgtn.com/hls/LSveq57bErWLinBnxosqjisZ220802LSTefTAS9zc9mpU08y3np9TH220802cd/playlist.m3u8
中国教育1台,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225652
中国教育2台,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226425
